name,class,since,until
MCRYPT_RIJNDAEL_128,,,7.1
MCRYPT_RIJNDAEL_192,,,7.1
MCRYPT_RIJNDAEL_256,,,7.1
MCRYPT_RC2,,,7.1
MCRYPT_RC4,,,7.1
MCRYPT_RC6,,,7.1
MCRYPT_RC6_128,,,7.1
MCRYPT_RC6_192,,,7.1
MCRYPT_RC6_256,,,7.1
MCRYPT_SAFER64,,,7.1
MCRYPT_SAFER128,,,7.1
MCRYPT_SAFERPLUS,,,7.1
MCRYPT_SERPENT,,,7.1
MCRYPT_SERPENT_128,,,7.1
MCRYPT_SERPENT_192,,,7.1
MCRYPT_SERPENT_256,,,7.1
MCRYPT_SKIPJACK,,,7.1
MCRYPT_TEAN,,,7.1
MCRYPT_THREEWAY,,,7.1
MCRYPT_TRIPLEDES,,,7.1
MCRYPT_TWOFISH,,,7.1
MCRYPT_TWOFISH128,,,7.1
MCRYPT_TWOFISH192,,,7.1
MCRYPT_TWOFISH256,,,7.1
MCRYPT_WAKE,,,7.1
MCRYPT_XTEA,,,7.1
PHP_FLOAT_DIG,,7.2,
PHP_FLOAT_EPSILON,,7.2,
PHP_FLOAT_MIN,,7.2,
PHP_FLOAT_MAX,,7.2,
PHP_OS_FAMILY,,7.2,
FILEINFO_EXTENSION,,7.2,
JSON_INVALID_UTF8_IGNORE,,7.2,
JSON_INVALID_UTF8_SUBSTITUTE,,7.2,
IMG_EFFECT_MULTIPLY,,7.2,
IMG_BMP,,7.2,
LDAP_EXOP_START_TLS,,7.2,
LDAP_EXOP_MODIFY_PASSWD,,7.2,
LDAP_EXOP_REFRESH,,7.2,
LDAP_EXOP_WHO_AM_I,,7.2,
LDAP_EXOP_TURN,,7.2,
PASSWORD_ARGON2I,,7.2,
PASSWORD_ARGON2_DEFAULT_MEMORY_COST,,7.2,
PASSWORD_ARGON2_DEFAULT_TIME_COST,,7.2,
PASSWORD_ARGON2_DEFAULT_THREADS,,7.2,
PREG_UNMATCHED_AS_NULL,,7.2,
PARAM_STR_NATL,PDO,7.2,
PARAM_STR_CHAR,PDO,7.2,
ATTR_DEFAULT_STR_PARAM,PDO,7.2,
SODIUM_LIBRARY_VERSION,,7.2,
SODIUM_LIBRARY_MAJOR_VERSION,,7.2,
SODIUM_LIBRARY_MINOR_VERSION,,7.2,
SODIUM_CRYPTO_AEAD_AES256GCM_KEYBYTES,,7.2,
SODIUM_CRYPTO_AEAD_AES256GCM_NSECBYTES,,7.2,
SODIUM_CRYPTO_AEAD_AES256GCM_NPUBBYTES,,7.2,
SODIUM_CRYPTO_AEAD_AES256GCM_ABYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_KEYBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_NSECBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_NPUBBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_ABYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_IETF_KEYBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_IETF_NSECBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_IETF_NPUBBYTES,,7.2,
SODIUM_CRYPTO_AEAD_CHACHA20POLY1305_IETF_ABYTES,,7.2,
SODIUM_CRYPTO_AUTH_BYTES,,7.2,
SODIUM_CRYPTO_AUTH_KEYBYTES,,7.2,
SODIUM_CRYPTO_BOX_SEALBYTES,,7.2,
SODIUM_CRYPTO_BOX_SECRETKEYBYTES,,7.2,
SODIUM_CRYPTO_BOX_PUBLICKEYBYTES,,7.2,
SODIUM_CRYPTO_BOX_KEYPAIRBYTES,,7.2,
SODIUM_CRYPTO_BOX_MACBYTES,,7.2,
SODIUM_CRYPTO_BOX_NONCEBYTES,,7.2,
SODIUM_CRYPTO_BOX_SEEDBYTES,,7.2,
SODIUM_CRYPTO_KDF_BYTES_MIN,,7.2,
SODIUM_CRYPTO_KDF_BYTES_MAX,,7.2,
SODIUM_CRYPTO_KDF_CONTEXTBYTES,,7.2,
SODIUM_CRYPTO_KDF_KEYBYTES,,7.2,
SODIUM_CRYPTO_KX_SEEDBYTES,,7.2,
SODIUM_CRYPTO_KX_SESSIONKEYBYTES,,7.2,
SODIUM_CRYPTO_KX_PUBLICKEYBYTES,,7.2,
SODIUM_CRYPTO_KX_SECRETKEYBYTES,,7.2,
SODIUM_CRYPTO_KX_KEYPAIRBYTES,,7.2,
