name,class,since,until
imagegetclip,,7.2,
imageopenpolygon,,7.2,
imageresolution,,7.2,
imagecreatefrombmp,,7.2,
imagebmp,,7.2,
hash_hmac_algos,,7.2,
ldap_parse_exop,,7.2,
ldap_exop,,7.2,
ldap_exop_passwd,,7.2,
ldap_exop_whoami,,7.2,
mb_chr,,7.2,
mb_ord,,7.2,
mb_scrub,,7.2,
oci_register_taf_callback,,7.2,
oci_unregister_taf_callback,,7.2,
socket_addrinfo_lookup,,7.2,
socket_addrinfo_connect,,7.2,
socket_addrinfo_bind,,7.2,
socket_addrinfo_explain,,7.2,
sodium_add,,7.2,
sodium_bin2hex,,7.2,
sodium_compare,,7.2,
sodium_crypto_aead_aes256gcm_decrypt,,7.2,
sodium_crypto_aead_aes256gcm_encrypt,,7.2,
sodium_crypto_aead_aes256gcm_is_available,,7.2,
sodium_crypto_aead_aes256gcm_keygen,,7.2,
sodium_crypto_aead_chacha20poly1305_decrypt,,7.2,
sodium_crypto_aead_chacha20poly1305_encrypt,,7.2,
sodium_crypto_aead_chacha20poly1305_ietf_decrypt,,7.2,
sodium_crypto_aead_chacha20poly1305_ietf_encrypt,,7.2,
sodium_crypto_aead_chacha20poly1305_ietf_keygen,,7.2,
sodium_crypto_aead_chacha20poly1305_keygen,,7.2,
sodium_crypto_auth_keygen,,7.2,
sodium_crypto_auth_verify,,7.2,
sodium_crypto_auth,,7.2,
sodium_crypto_box_keypair_from_secretkey_and_publickey,,7.2,
sodium_crypto_box_keypair,,7.2,
sodium_crypto_box_open,,7.2,
sodium_crypto_box_publickey_from_secretkey,,7.2,
sodium_crypto_box_publickey,,7.2,
sodium_crypto_box_seal_open,,7.2,
sodium_crypto_box_seal,,7.2,
sodium_crypto_box_secretkey,,7.2,
sodium_crypto_box_seed_keypair,,7.2,
sodium_crypto_box,,7.2,
sodium_crypto_generichash_final,,7.2,
sodium_crypto_generichash_init,,7.2,
sodium_crypto_generichash_keygen,,7.2,
sodium_crypto_generichash_update,,7.2,
sodium_crypto_generichash,,7.2,
sodium_crypto_kdf_derive_from_key,,7.2,
sodium_crypto_kdf_keygen,,7.2,
sodium_crypto_kx_client_session_keys,,7.2,
sodium_crypto_kx_keypair,,7.2,
sodium_crypto_kx_publickey,,7.2,
sodium_crypto_kx_secretkey,,7.2,
sodium_crypto_kx_seed_keypair,,7.2,
sodium_crypto_kx_server_session_keys,,7.2,
sodium_crypto_pwhash_scryptsalsa208sha256_str_verify,,7.2,
sodium_crypto_pwhash_scryptsalsa208sha256_str,,7.2,
sodium_crypto_pwhash_scryptsalsa208sha256,,7.2,
sodium_crypto_pwhash_str_verify,,7.2,
sodium_crypto_pwhash_str,,7.2,
sodium_crypto_pwhash,,7.2,
sodium_crypto_scalarmult_base,,7.2,
sodium_crypto_scalarmult,,7.2,
sodium_crypto_secretbox_keygen,,7.2,
sodium_crypto_secretbox_open,,7.2,
sodium_crypto_secretbox,,7.2,
sodium_crypto_shorthash_keygen,,7.2,
sodium_crypto_shorthash,,7.2,
sodium_crypto_sign_detached,,7.2,
sodium_crypto_sign_ed25519_pk_to_curve25519,,7.2,
sodium_crypto_sign_ed25519_sk_to_curve25519,,7.2,
sodium_crypto_sign_keypair_from_secretkey_and_publickey,,7.2,
sodium_crypto_sign_keypair,,7.2,
sodium_crypto_sign_open,,7.2,
sodium_crypto_sign_publickey_from_secretkey,,7.2,
sodium_crypto_sign_publickey,,7.2,
sodium_crypto_sign_secretkey,,7.2,
sodium_crypto_sign_seed_keypair,,7.2,
sodium_crypto_sign_verify_detached,,7.2,
sodium_crypto_sign,,7.2,
sodium_crypto_stream_keygen,,7.2,
sodium_crypto_stream_xor,,7.2,
sodium_crypto_stream,,7.2,
sodium_hex2bin,,7.2,
sodium_increment,,7.2,
sodium_memcmp,,7.2,
sodium_memzero,,7.2,
sodium_pad,,7.2,
sodium_unpad,,7.2,
count,ZipArchive,7.2,
setEncryptionName,ZipArchive,7.2,
setEncryptionIndex,ZipArchive,7.2,
array_key_first,,7.3,
array_key_last,,7.3,
gc_status,,7.3,
hrtime,,7.3,
is_countable,,7.3,
net_get_interfaces,,7.3,
fpm_get_status,,7.3,
createFromImmutable,DateTime,7.3,
gmp_binomial,,7.3,
gmp_kronecker,,7.3,
gmp_lcm,,7.3,
gmp_perfect_power,,7.3,
getRawDecomposition,Normalizer,7.3,
normalizer_get_raw_decomposition,,7.3,
setRestrictionLevel,Spoofchecker,7.3,
ldap_add_ext,,7.3,
ldap_bind_ext,,7.3,
ldap_delete_ext,,7.3,
ldap_exop_refresh,,7.3,
ldap_mod_add_ext,,7.3,
ldap_mod_replace_ext,,7.3,
ldap_mod_del_ext,,7.3,
ldap_rename_ext,,7.3,
openssl_pkey_derive,,7.3,
socket_wsaprotocol_info_export,,7.3,
socket_wsaprotocol_info_import,,7.3,
socket_wsaprotocol_info_release,,7.3,
get_mangled_object_vars,,7.4,
password_algos,,7.4,
sapi_windows_set_ctrl_handler,,7.4,
imagecreatefromtga,,7.4,
mb_str_split,,7.4,
openssl_x509_verify,,7.4,
pcntl_unshare,,7.4,
backup,SQLite3,7.4,
getSQL,SQLite3Stmt,7.4,
addr,FFI,7.4,
alignof,FFI,7.4,
arrayType,FFI,7.4,
cast,FFI,7.4,
cdef,FFI,7.4,
free,FFI,7.4,
isNull,FFI,7.4,
load,FFI,7.4,
memcmp,FFI,7.4,
memcpy,FFI,7.4,
memset,FFI,7.4,
new,FFI,7.4,
scope,FFI,7.4,
sizeof,FFI,7.4,
string,FFI,7.4,
type,FFI,7.4,
typeof,FFI,7.4,
lastExtendedErrorCode,SQLite3,7.4,
enableExtendedResultCodes,SQLite3,7.4,
mysqli_embedded_server_start,,,7.3
mysqli_embedded_server_end,,,7.3
fbird_add_user,,,7.3
fbird_affected_rows,,,7.3
fbird_backup,,,7.3
fbird_blob_add,,,7.3
fbird_blob_cancel,,,7.3
fbird_blob_close,,,7.3
fbird_blob_create,,,7.3
fbird_blob_echo,,,7.3
fbird_blob_get,,,7.3
fbird_blob_import,,,7.3
fbird_blob_info,,,7.3
fbird_blob_open,,,7.3
fbird_close,,,7.3
fbird_commit,,,7.3
fbird_commit_ret,,,7.3
fbird_connect,,,7.3
fbird_db_info,,,7.3
fbird_delete_user,,,7.3
fbird_drop_db,,,7.3
fbird_errcode,,,7.3
fbird_errmsg,,,7.3
fbird_execute,,,7.3
fbird_fetch_assoc,,,7.3
fbird_fetch_object,,,7.3
fbird_fetch_row,,,7.3
fbird_field_info,,,7.3
fbird_free_event_handler,,,7.3
fbird_free_query,,,7.3
fbird_free_result,,,7.3
fbird_gen_id,,,7.3
fbird_maintain_db,,,7.3
fbird_modify_user,,,7.3
fbird_name_result,,,7.3
fbird_num_fields,,,7.3
fbird_num_params,,,7.3
fbird_param_info,,,7.3
fbird_pconnect,,,7.3
fbird_prepare,,,7.3
fbird_query,,,7.3
fbird_restore,,,7.3
fbird_rollback,,,7.3
fbird_rollback_ret,,,7.3
fbird_server_info,,,7.3
fbird_service_attach,,,7.3
fbird_service_detach,,,7.3
fbird_set_event_handler,,,7.3
fbird_trans,,,7.3
fbird_wait_event,,,7.3
ibase_add_user,,,7.3
ibase_affected_rows,,,7.3
ibase_backup,,,7.3
ibase_blob_add,,,7.3
ibase_blob_cancel,,,7.3
ibase_blob_close,,,7.3
ibase_blob_create,,,7.3
ibase_blob_echo,,,7.3
ibase_blob_get,,,7.3
ibase_blob_import,,,7.3
ibase_blob_info,,,7.3
ibase_blob_open,,,7.3
ibase_close,,,7.3
ibase_commit,,,7.3
ibase_commit_ret,,,7.3
ibase_connect,,,7.3
ibase_db_info,,,7.3
ibase_delete_user,,,7.3
ibase_drop_db,,,7.3
ibase_errcode,,,7.3
ibase_errmsg,,,7.3
ibase_execute,,,7.3
ibase_fetch_assoc,,,7.3
ibase_fetch_object,,,7.3
ibase_fetch_row,,,7.3
ibase_field_info,,,7.3
ibase_free_event_handler,,,7.3
ibase_free_query,,,7.3
ibase_free_result,,,7.3
ibase_gen_id,,,7.3
ibase_maintain_db,,,7.3
ibase_modify_user,,,7.3
ibase_name_result,,,7.3
ibase_num_fields,,,7.3
ibase_num_params,,,7.3
ibase_param_info,,,7.3
ibase_pconnect,,,7.3
ibase_prepare,,,7.3
ibase_query,,,7.3
ibase_restore,,,7.3
ibase_rollback,,,7.3
ibase_rollback_ret,,,7.3
ibase_server_info,,,7.3
ibase_service_attach,,,7.3
ibase_service_detach,,,7.3
ibase_set_event_handler,,,7.3
ibase_trans,,,7.3
ibase_wait_event,,,7.3
recode,,,7.3
recode_file,,,7.3
recode_string,,,7.3
wddx_add_vars,,,7.3
wddx_deserialize,,,7.3
wddx_packet_end,,,7.3
wddx_packet_start,,,7.3
wddx_serialize_value,,,7.3
wddx_serialize_vars,,,7.3
get_resource_id,,8.0,
createFromInterface,DateTime,8.0,
createFromInterface,DateTimeImmutable,8.0,
enchant_dict_add,,8.0,
enchant_dict_is_added,,8.0,
ldap_count_references,,8.0,
openssl_cms_encrypt,,8.0,
openssl_cms_decrypt,,8.0,
openssl_cms_read,,8.0,
openssl_cms_sign,,8.0,
openssl_cms_verify,,8.0,
preg_last_error_msg,,8.0,
str_contains,,8.0,
str_starts_with,,8.0,
str_ends_with,,8.0,
fdiv,,8.0,
get_debug_type,,8.0,
tokenize,PhpToken,8.0,
setMtimeName,ZipArchive,8.0,
setMtimeIndex,ZipArchive,8.0,
registerProgressCallback,ZipArchive,8.0,
registerCancelCallback,ZipArchive,8.0,
replaceFile,ZipArchive,8.0,
isCompressionMethodSupported,ZipArchive,8.0,
isEncryptionMethodSupported,ZipArchive,8.0,
getStatusString,ZipArchive,8.0,
create_function,,,7.4
each,,,7.4
read_exif_data,,,7.4
image2wbmp,,,7.4
png2wbmp,,,7.4
jpeg2wbmp,,,7.4
gmp_random,,,7.4
imap_header,,,7.4
ldap_sort,,,7.4
ldap_control_paged_result,,,7.4
ldap_control_paged_result_response,,,7.4
mbregex_encoding,,,7.4
mbereg,,,7.4
mberegi,,,7.4
mbereg_replace,,,7.4
mberegi_replace,,,7.4
mbsplit,,,7.4
mbereg_match,,,7.4
mbereg_search,,,7.4
mbereg_search_pos,,,7.4
mbereg_search_regs,,,7.4
mbereg_search_init,,,7.4
mbereg_search_getregs,,,7.4
mbereg_search_getpos,,,7.4
mbereg_search_setpos,,,7.4
oci_internal_debug,,,7.4
ociinternaldebug,,,7.4
hebrevc,,,7.4
convert_cyr_string,,,7.4
money_format,,,7.4
ezmlm_hash,,,7.4
restore_include_path,,,7.4
get_magic_quotes_gpc,,,7.4
get_magic_quotes_runtime,,,7.4
fgetss,,,7.4
xmlrpc_decode,,,7.4
xmlrpc_decode_request,,,7.4
xmlrpc_encode,,,7.4
xmlrpc_encode_request,,,7.4
xmlrpc_get_type,,,7.4
xmlrpc_is_fault,,,7.4
xmlrpc_parse_method_descriptions,,,7.4
xmlrpc_server_add_introspection_data,,,7.4
xmlrpc_server_call_method,,,7.4
xmlrpc_server_create,,,7.4
xmlrpc_server_destroy,,,7.4
xmlrpc_server_register_introspection_callback,,,7.4
xmlrpc_server_register_method,,,7.4
xmlrpc_set_type,,,7.4
gzgetss,,,7.4
imagegetinterpolation,,8.0,
array_is_list,,8.1,
imagecreatefromavif,,8.1,
imageavif,,8.1,
pcntl_rfork,,8.1,
fsync,,8.1,
fdatasync,,8.1,
sodium_crypto_stream_xchacha20,,8.1,
sodium_crypto_stream_xchacha20_keygen,,8.1,
sodium_crypto_stream_xchacha20_xor,,8.1,
sodium_crypto_core_ristretto255_add,,8.1,
sodium_crypto_core_ristretto255_from_hash,,8.1,
sodium_crypto_core_ristretto255_is_valid_point,,8.1,
sodium_crypto_core_ristretto255_random,,8.1,
sodium_crypto_core_ristretto255_scalar_add,,8.1,
sodium_crypto_core_ristretto255_scalar_complement,,8.1,
sodium_crypto_core_ristretto255_scalar_invert,,8.1,
sodium_crypto_core_ristretto255_scalar_mul,,8.1,
sodium_crypto_core_ristretto255_scalar_negate,,8.1,
sodium_crypto_core_ristretto255_scalar_random,,8.1,
sodium_crypto_core_ristretto255_scalar_reduce,,8.1,
sodium_crypto_core_ristretto255_scalar_sub,,8.1,
sodium_crypto_core_ristretto255_sub,,8.1,
sodium_crypto_scalarmult_ristretto255,,8.1,
sodium_crypto_scalarmult_ristretto255_base,,8.1,
curl_upkeep,,8.2,
imap_is_open,,8.2,
mysqli_execute_query,,8.2,
odbc_connection_string_is_quoted,,8.2,
odbc_connection_string_should_quote,,8.2,
odbc_connection_string_quote,,8.2,
openssl_cipher_key_length,,8.2,
